source_id,years,source_name,url_or_local_path,source_family,coverage_level,evidence_quality,public_access,contents,limitations
official_api_2020,2020,INDYCAR EventsSessionDetails API,/Users/fengzhecharlieli/Documents/ChatGPT/indy500删圈/evidence/official_session_2020.json,Official results,PARTIAL_CHRONOLOGY,OFFICIAL_RAW,yes,"59 result rows; lap1-4; total; average; status; report inventory","ranked not chronological; no time of day/lane/queue"
official_api_2021,2021,INDYCAR EventsSessionDetails API,/Users/fengzhecharlieli/Documents/ChatGPT/indy500删圈/evidence/official_session_2021.json,Official results,PARTIAL_CHRONOLOGY,OFFICIAL_RAW,yes,"59 result rows; lap1-4; total; average; status; report inventory","ranked not chronological; no time of day/lane/queue"
official_api_2022,2022,INDYCAR EventsSessionDetails API,/Users/fengzhecharlieli/Documents/ChatGPT/indy500删圈/evidence/official_session_2022.json,Official results,PARTIAL_CHRONOLOGY,OFFICIAL_RAW,yes,"44 result rows; lap1-4; total; average; status; report inventory","omits at least Sato disallowed first run; no time of day/lane/queue"
official_api_2023,2023,INDYCAR EventsSessionDetails API,/Users/fengzhecharlieli/Documents/ChatGPT/indy500删圈/evidence/official_session_2023.json,Official results,FINAL_ATTEMPTS_ONLY,OFFICIAL_RAW,yes,"34 current API result rows; report inventory exposes original 84-row PDF","API rows alone are final standings; no time of day/lane/queue"
official_api_2024,2024,INDYCAR EventsSessionDetails API,/Users/fengzhecharlieli/Documents/ChatGPT/indy500删圈/evidence/official_session_2024.json,Official results,FINAL_ATTEMPTS_ONLY,OFFICIAL_RAW,yes,"34 current API result rows; report inventory","API rows alone are final standings; no time of day/lane/queue"
official_results_2020,2020,Official Qualification Results PDF,http://www.imscdn.com/INDYCAR/Documents/5771/2020-08-15/indycar-results-quals-day1.pdf,Official detailed report,PARTIAL_CHRONOLOGY,OFFICIAL_REPORT,yes,"59 attempts; lap1-4; total; average; status","sorted by result/speed; no wall clock or lane/queue"
official_results_2021,2021,Official Qualification Results PDF,http://www.imscdn.com/INDYCAR/Documents/5838/2021-05-22/indycar-results-quals-day1.pdf,Official detailed report,PARTIAL_CHRONOLOGY,OFFICIAL_REPORT,yes,"59 attempts; lap1-4; total; average; status","sorted by result/speed; no wall clock; erroneous 2020 footer dates"
official_results_2022,2022,Official Qualification Results PDF,http://www.imscdn.com/INDYCAR/Documents/6033/2022-05-21/indycar-officialqualresults-day1.pdf,Official detailed report,PARTIAL_CHRONOLOGY,OFFICIAL_REPORT,yes,"44 report rows; 40 completed; status and reinstatement note","not all executed attempts; no wall clock or lane/queue"
official_results_2023_all,2023,Original Official Results PDF,http://www.imscdn.com/INDYCAR/Documents/6202/2023-05-20/indycar-results-quals-day1.pdf,Official detailed report,PARTIAL_CHRONOLOGY,OFFICIAL_REPORT,yes,"84 attempts; lap1-4; total; average; status","sorted by result/speed; no wall clock or lane/queue"
official_results_2023_mod34,2023,Modified Official Results PDF,http://www.imscdn.com/INDYCAR/Documents/6202/2023-05-20/indycar-results-quals-day1%20-%20MOD34.pdf,Official detailed report,FINAL_ATTEMPTS_ONLY,OFFICIAL_REPORT,yes,"34 final rows","overwrites same Results UI target in client; loses attempt inventory"
official_overall_2023,2023,Official Overall Results PDF,http://www.imscdn.com/INDYCAR/Documents/6202/2023-05-20/indycar-officialqualsfinalpostings-quals-day1.pdf,Official detailed report,FINAL_ATTEMPTS_ONLY,OFFICIAL_REPORT,yes,"final posting/qualifiers","not attempt history"
official_results_2024,2024,Official Qualification Results PDF,http://www.imscdn.com/INDYCAR/Documents/6382/2024-05-18/indycar-results-quals-day1.pdf,Official detailed report,PARTIAL_CHRONOLOGY,OFFICIAL_REPORT,yes,"74 attempts; lap1-4; total; average; status","sorted by result/speed; no wall clock or lane/queue"
official_sections,2020-2024,INDYCAR Section Results reports,"See official API SessionReports URLs",Official detailed report,PARTIAL_CHRONOLOGY,OFFICIAL_REPORT,yes,"per-car lap and section timing; pit-out/SF and SF/pit-in durations","no absolute timestamps or global order"
official_top_sections,2020-2024,INDYCAR Top Section Times reports,"See official API SessionReports URLs",Official detailed report,SUMMARY_ONLY,OFFICIAL_REPORT,yes,"ranked best lap/sector metrics","not attempt chronology"
timing71_catalog,2020-2024,Timing71 public replay catalog,/Users/fengzhecharlieli/Documents/ChatGPT/indy500删圈/evidence/timing71_catalog.json,Third-party replay,PARTIAL_CHRONOLOGY,THIRD_PARTY_CAPTURE,yes,"public metadata for 2020 2021 2023 2024 qualifying recordings","no 2022 recording found; catalog metadata alone has no events"
timing71_2020,2020,Timing71 two-part qualifying replay,"catalog ids 027333f0270d41118f6eeccb9ddd25e5 and :1",Third-party replay,PARTIAL_CHRONOLOGY,THIRD_PARTY_CAPTURE,yes,"leaderboard/track snapshots over most session","7m15s internal gap; no explicit lane/queue"
timing71_2021,2021,Timing71 qualifying replay,/Users/fengzhecharlieli/Documents/ChatGPT/indy500删圈/evidence/timing71_2021_sample.zip,Third-party replay,RAW_EVENT_STREAM,THIRD_PARTY_CAPTURE,yes,"full-span full/delta snapshots; current qualifier; lap1-4 speeds; leaderboard; flags; pit messages","capture timestamps not official source timestamps; no lane/queue field; reconciliation pending"
timing71_2022,2022,Timing71 qualifying replay search,"No catalog record found",Third-party replay,UNAVAILABLE,THIRD_PARTY_CAPTURE,unknown,"none located in inspected public catalog/date query","absence in inspected catalog does not prove no private copy exists"
timing71_2023,2023,Timing71 qualifying replay,"catalog id ceb845a6-cc87-48c3-838a-01e851f0b415",Third-party replay,PARTIAL_CHRONOLOGY,THIRD_PARTY_CAPTURE,yes,"snapshots/current qualifier/leaderboard until 20:51:22 UTC","final ~58m38s missing; no explicit lane/queue"
timing71_2024,2024,Timing71 qualifying replay,"catalog id 4146f406-154f-4065-bd5f-10d0bd349b77",Third-party replay,RAW_EVENT_STREAM,THIRD_PARTY_CAPTURE,yes,"full-span full/delta snapshots; current qualifier; leaderboard","some stale fields; no reliable pit/lane/queue field; row mapping pending"
indycar_live_current,2020-2024,INDYCAR RaceControl public current feeds,https://indycar.blob.core.windows.net/racecontrol/timingscoring-ris.json,Official live timing,UNAVAILABLE,OFFICIAL_RAW,yes,"current-session JSON has timing results and event/session identifiers","live/current endpoint tested; no historical 2020-2024 replay query discovered"
official_editorial,2020-2024,INDYCAR/IMS Day 1 recap articles,"URLs detailed in raw_source_notes.md",Official editorial,PARTIAL_CHRONOLOGY,OFFICIAL_EDITORIAL,yes,"attempt totals and selected attempt/action/time/weather anchors","selective narrative; not complete event stream"
crash_live_2024,2024,Crash.net qualifying live blog,https://www.crash.net/indycar/live/indianapolis-500-qualifying-it-happened,Live editorial capture,PARTIAL_CHRONOLOGY,THIRD_PARTY_CAPTURE,yes,"timestamped selected events and leaderboard snapshots","not every attempt; timestamps displayed in BST; occasional text ambiguity"
hh_timing_docs,2020-2024,HH Timing IndyCar RIS documentation,https://help.hhtiming.com/series-specific-info/indycar/,Capability documentation,SUMMARY_ONLY,COMMUNITY_CLAIM,yes,"documents session history lap/section timing telemetry raw-message export and replay capability","credentials supplied by INDYCAR; no public historical capture"
hrrr_archive,2020-2024,NOAA HRRR historical archive,https://registry.opendata.aws/noaa-hrrr-pds/,Weather forecast,RAW_EVENT_STREAM,OFFICIAL_RAW,yes,"hourly 3-km forecast archive since 2014; five date indexes verified","must enforce decision-time availability; track temperature not directly forecast"
iem_mos,2020-2024,IEM MOS archive,https://mesonet.agron.iastate.edu/cgi-bin/request/mos.py?help,Weather forecast,SUMMARY_ONLY,THIRD_PARTY_CAPTURE,yes,"issued model-statistical forecasts at station KIND; sample saved","airport point and coarser variables; supplementary to HRRR"
iem_nws,2020-2024,IEM NWS text archive,https://mesonet.agron.iastate.edu/nws/text.php,Weather forecast,SUMMARY_ONLY,THIRD_PARTY_CAPTURE,yes,"issued NWS products; 2024 AFD sample saved","narrative/zone context; not gridded attempt-level weather"
