observation_id,year,session_date,evidence_type,stated_local_time,local_timezone,normalized_utc,value_numeric,unit,normalized_value_c,stated_value_text,session_semantics,source_title,source_url,source_class,evidence_quality,measurement_semantics,observation_status,evidence_context,local_asset,review_note
TC2020-Q01,2020,2020-08-15,GENERAL_CONDITION,,America/Indiana/Indianapolis,,,,,best weather conditions of the day,Day 1 qualifying; early draw/run context,"VeeKay, Palou Make Strong First Impressions To Reach Fast Nine Shootout",https://www.indianapolismotorspeedway.com/news-multimedia/news/2020/08/15/veekay-palou-make-strong-first-impressions-to-reach-fast-nine-shootout,IMS_OFFICIAL_EDITORIAL,OFFICIAL_EDITORIAL,QUALITATIVE_WEATHER_CONTEXT,QUALITATIVE_OBSERVED,IMS describes favorable weather but supplies no numerical environmental measurement.,,
TC2021-Q01,2021,2021-05-22,GENERAL_CONDITION,afternoon,America/Indiana/Indianapolis,,,,,warmer part of the afternoon,Day 1 qualifying; second Ferrucci attempt,"Paddock Buzz: Nervous Sunday Ahead for Power, Four Others",https://www.indycar.com/news/2021/05/05-22-paddockbuzz,INDYCAR_OFFICIAL_EDITORIAL,OFFICIAL_EDITORIAL,QUALITATIVE_WEATHER_CONTEXT,QUALITATIVE_OBSERVED,INDYCAR describes a warmer afternoon without a number or exact time.,,
TC2022-T01,2022,2022-05-21,TRACK_TEMPERATURE,11:00 a.m. EDT,America/Indiana/Indianapolis,2022-05-21T15:00:00Z,85,degF,29.4444444444,85°F,Day 1 qualifying opening,Paddock Buzz: Sato Sneaks into Fast 12 after Eventful Day,https://www.indycar.com/news/2022/05/05-21-buzz,INDYCAR_OFFICIAL_EDITORIAL,OFFICIAL_EDITORIAL,EXPLICIT_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Official report states the track was 85°F at opening.,weather/evidence/raw_pages/2022_www.indycar.com_news_2022_05_05-21-buzz.txt,
TC2022-T02,2022,2022-05-21,TRACK_TEMPERATURE,12:30 p.m. EDT,America/Indiana/Indianapolis,2022-05-21T16:30:00Z,107,degF,41.6666666667,107°F,Day 1 qualifying in progress,Paddock Buzz: Sato Sneaks into Fast 12 after Eventful Day,https://www.indycar.com/news/2022/05/05-21-buzz,INDYCAR_OFFICIAL_EDITORIAL,OFFICIAL_EDITORIAL,EXPLICIT_ASPHALT_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Official report states asphalt had heated to 107°F.,weather/evidence/raw_pages/2022_www.indycar.com_news_2022_05_05-21-buzz.txt,
TC2022-Q01,2022,2022-05-21,WIND,early afternoon,America/Indiana/Indianapolis,,,,,wind affected drivability,Day 1 qualifying; Montoya context,Paddock Buzz: Sato Sneaks into Fast 12 after Eventful Day,https://www.indycar.com/news/2022/05/05-21-buzz,INDYCAR_OFFICIAL_EDITORIAL,OFFICIAL_EDITORIAL,QUALITATIVE_OBSERVED_WIND,QUALITATIVE_OBSERVED,Official report describes wind effects but gives no speed or direction.,weather/evidence/raw_pages/2022_www.indycar.com_news_2022_05_05-21-buzz.txt,
TC2023-Q01,2023,2023-05-20,GENERAL_CONDITION,session-wide,America/Indiana/Indianapolis,,,,,sunny skies; temperatures in the mid-70s°F,Day 1 qualifying general conditions,"Rosenqvist Paces Epic, Historic First Qualifying Day at Indy",https://www.indycar.com/News/2023/05/05-20-FirstDayQuals,INDYCAR_OFFICIAL_EDITORIAL,OFFICIAL_EDITORIAL,QUALITATIVE_OBSERVED_WEATHER,QUALITATIVE_OBSERVED,Official recap gives general conditions without a precise time or sensor semantics.,,
TC2024-T01,2024,2024-05-18,TRACK_TEMPERATURE,11:00 a.m. EDT,America/Indiana/Indianapolis,2024-05-18T15:00:00Z,94.6,degF,34.7777777778,94.6°F,Day 1 qualifying opening,Race Report: 2024 Indianapolis 500,https://www.theapex.racing/2024/05/2024-indianapolis-500/,REPUTABLE_SECONDARY_SESSION_REPORT,REPUTABLE_EDITORIAL,EXPLICIT_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Secondary report attributes the reading to Firestone engineers.,,The located publication is secondary rather than INDYCAR/IMS.
TC2024-A01,2024,2024-05-18,AIR_TEMPERATURE,11:00 a.m. EDT,America/Indiana/Indianapolis,2024-05-18T15:00:00Z,73,degF,22.7777777778,73°F,Day 1 qualifying opening,Race Report: 2024 Indianapolis 500,https://www.theapex.racing/2024/05/2024-indianapolis-500/,REPUTABLE_SECONDARY_SESSION_REPORT,REPUTABLE_EDITORIAL,EXPLICIT_AMBIENT_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Secondary report gives ambient temperature as 73°F.,,
TC2024-H01,2024,2024-05-18,RELATIVE_HUMIDITY,11:00 a.m. EDT,America/Indiana/Indianapolis,2024-05-18T15:00:00Z,80,percent,,80%,Day 1 qualifying opening,Race Report: 2024 Indianapolis 500,https://www.theapex.racing/2024/05/2024-indianapolis-500/,REPUTABLE_SECONDARY_SESSION_REPORT,REPUTABLE_EDITORIAL,EXPLICIT_AMBIENT_HUMIDITY,DIRECT_NUMERIC_OBSERVATION,Secondary report gives relative humidity as 80%.,,
TC2024-S01,2024,2024-05-18,SKY_CONDITION,11:00 a.m. EDT,America/Indiana/Indianapolis,2024-05-18T15:00:00Z,,,,mostly cloudy,Day 1 qualifying opening,Race Report: 2024 Indianapolis 500,https://www.theapex.racing/2024/05/2024-indianapolis-500/,REPUTABLE_SECONDARY_SESSION_REPORT,REPUTABLE_EDITORIAL,OBSERVED_GENERAL_SKY_CONDITION,QUALITATIVE_OBSERVED,General sky condition does not establish corner-level shade.,,
TC2024-Q01,2024,2024-05-18,AIR_TEMPERATURE,session-wide,America/Indiana/Indianapolis,,,,,low 80s°F maximum/range description,Day 1 qualifying general conditions,Power Fastest as Penske Eyes Pole after Top Three Sweep,https://www.indycar.com/News/2024/05/05-18-Quals-Day1,INDYCAR_OFFICIAL_EDITORIAL,OFFICIAL_EDITORIAL,QUALITATIVE_AIR_TEMPERATURE_RANGE,QUALITATIVE_OBSERVED,Official recap gives a range without an exact observation time.,,
