year,car_number,driver_name,speed_mph,attempt_role,time_et,time_utc,time_quality,source_authority,notes,_rescue_file,evidence_type,source,_time,matched_run_index,speed_match_error_mph,sequence_match_status,chronology_status,hrrr_match_time_utc,hrrr_time_distance_min,hrrr_match_status,hrrr_temp_c,hrrr_dewpoint_c,hrrr_relative_humidity_pct,hrrr_wind_speed_10m_ms,hrrr_wind_direction_deg,hrrr_pressure_hpa,hrrr_gust_ms,hrrr_cloud_cover_pct,hrrr_shortwave_radiation_wm2,hrrr_forecast_lead_hours,ptsc_match_time_utc,ptsc_time_distance_min,ptsc_match_status,ptsc_ambient_c,ptsc_track_c,ptsc_humidity,ptsc_wind,ptsc_wind_direction,ptsc_pressure,ptsc_sensor_avg_f,hrrr_air_density_kg_m3,rescue_environment_status
2023,23,Ryan Hunter-Reay,232.133,SECOND_ATTEMPT,2023-05-20 13:48,2023-05-20T17:48:00Z,EXACT_MINUTE_PUBLIC_CHRONICLE,PUBLIC_CHRONICLE,IndySpeedway chronology states at 1:48p Hunter-Reay was first driver to take a second run and posted 232.133.,r5_2/manual/repeat_attempt_time_rescue_2023_seed_v2.csv,,,2023-05-20 17:48:00+00:00,2.0,0.0,MATCHED,OK,2023-05-20T18:00:00+00:00,12.0,ACCEPT,18.920373535156273,7.163903808593773,46.378174521862626,5.21353789210369,337.04770158741286,993.2,6.920341573655605,13.0,997.0,0.0,2023-05-20T17:45:00+00:00,3.0,ACCEPT,17.77777777777778,42.77777777777778,0.54,5.0,N,29.32,108.8,1.180088201046317,FULL_ENV_READY
2023,18,David Malukas,231.769,LATER_ATTEMPT,2023-05-20 17:38,2023-05-20T21:38:00Z,EXACT_MINUTE_PUBLIC_CHRONICLE,PUBLIC_CHRONICLE,IndySpeedway chronology states at 5:38p David Malukas moved from the bottom up to 23rd; official result is 231.769.,r5_2/manual/repeat_attempt_time_rescue_2023_seed_v2.csv,,,2023-05-20 21:38:00+00:00,3.0,0.0,MATCHED,OK,2023-05-20T22:00:00+00:00,22.0,ACCEPT,18.981561279296898,8.149987792968773,49.41326683920408,5.133723125007749,324.87589151943365,993.4,8.481694549322128,27.0,501.7000000000001,0.0,2023-05-20T21:45:00+00:00,7.0,ACCEPT,18.88888888888889,38.888888888888886,0.51,9.0,N,29.32,102.275,1.1797619119575424,FULL_ENV_READY
2023,6,Felix Rosenqvist,233.099,FIRST_ATTEMPT,2023-05-20 11:55,2023-05-20T15:55:00Z,EXACT_MINUTE_OFFICIAL,INDYCAR_OFFICIAL,Official IndyCar states first attempt occurred at 11:55 a.m. ET.,r5_2/manual/repeat_attempt_time_rescue_2023_seed_v2.csv,,,2023-05-20 15:55:00+00:00,1.0,0.0,MATCHED,OK,2023-05-20T16:00:00+00:00,5.0,ACCEPT,17.260858154296898,6.92743835449221,50.64718172617272,4.107239820140483,332.5271627597026,993.0,5.809485495090485,2.0,923.7,0.0,2023-05-20T16:00:00+00:00,5.0,ACCEPT,16.666666666666668,36.111111111111114,0.55,9.0,N,29.32,96.7,1.1866655777347888,FULL_ENV_READY
2023,6,Felix Rosenqvist,233.947,SECOND_ATTEMPT,2023-05-20 16:42,2023-05-20T20:42:00Z,EXACT_MINUTE_OFFICIAL,INDYCAR_OFFICIAL,Official IndyCar states second run occurred at 4:42 p.m. ET.,r5_2/manual/repeat_attempt_time_rescue_2023_seed_v2.csv,,,2023-05-20 20:42:00+00:00,2.0,0.0,MATCHED,OK,2023-05-20T21:00:00+00:00,18.0,ACCEPT,19.191979980468773,8.282952880859398,49.21129005989362,4.78668373021887,333.44422986762265,993.1,8.249429404735565,40.0,691.0,0.0,2023-05-20T20:45:00+00:00,3.0,ACCEPT,18.88888888888889,43.888888888888886,0.51,10.0,NNE,29.32,110.85,1.1785110030657864,FULL_ENV_READY
2024,21,Rinus VeeKay,231.166,,,2024-05-18T19:51:00Z,APPROXIMATE_POINT,,Official report states second qualifying attempt at 3:26 p.m. ET was waved off; returned 25 minutes later and recorded 231.166 mph.,r5_2/manual/repeat_time_rescue_2024_seed_v1.csv,OFFICIAL_EDITORIAL_DERIVED,INDYCAR,2024-05-18 19:51:00+00:00,3.0,0.0,MATCHED,OK,2024-05-18T20:00:00+00:00,9.0,ACCEPT,27.312432861328148,15.415277099609398,48.22236637968853,1.5877071763691506,135.06434263695306,985.8,1.8900528699159624,8.0,815.0,0.0,2024-05-18T19:45:00+00:00,6.0,ACCEPT,28.333333333333332,49.44444444444444,0.51,2.0,S,29.11,120.6,1.135316015479207,FULL_ENV_READY
2024,21,Rinus VeeKay,232.419,,,2024-05-18T21:49:55Z,TIGHT_BOUND,,Official report states run crossed Yard of Bricks with five seconds remaining before 5:50 p.m. ET session end.,r5_2/manual/repeat_time_rescue_2024_seed_v1.csv,OFFICIAL_EDITORIAL,INDYCAR,2024-05-18 21:49:55+00:00,4.0,0.0,MATCHED,OK,2024-05-18T22:00:00+00:00,10.083333333333334,ACCEPT,27.526544189453148,15.093240356445335,46.646960151060334,1.813446678491815,152.54037952479288,985.1,1.992172822356224,0.0,482.0,0.0,2024-05-18T21:52:00+00:00,2.0833333333333335,ACCEPT,27.77777777777778,47.22222222222222,0.49,6.0,S,29.09,116.525,1.1338535178824436,FULL_ENV_READY
2024,5,Pato O'Ward,231.833,,,2024-05-18T19:41:00Z,APPROXIMATE_POINT,,Liveblog says run two underway at 20:38 BST and at 20:41 BST O'Ward had moved to 19th with 231.833 mph.,r5_2/manual/repeat_time_rescue_2024_seed_v1.csv,LIVEBLOG,Crash.net,2024-05-18 19:41:00+00:00,,0.0,MATCHED,OK,2024-05-18T20:00:00+00:00,19.0,ACCEPT,27.312432861328148,15.415277099609398,48.22236637968853,1.5877071763691506,135.06434263695306,985.8,1.8900528699159624,8.0,815.0,0.0,2024-05-18T19:45:00+00:00,4.0,ACCEPT,28.333333333333332,49.44444444444444,0.51,2.0,S,29.11,120.6,1.135316015479207,FULL_ENV_READY
2024,5,Pato O'Ward,232.434,,,2024-05-18T20:33:00Z,APPROXIMATE_POINT,,Liveblog records 232.434 mph at 21:33 BST.,r5_2/manual/repeat_time_rescue_2024_seed_v1.csv,LIVEBLOG,Crash.net,2024-05-18 20:33:00+00:00,,0.0,MATCHED,OK,2024-05-18T21:00:00+00:00,27.0,ACCEPT,27.817010498046898,14.298699951171898,43.57108967096564,1.1729568342017824,134.87884600487365,985.4,1.5890091806650162,14.0,665.0,0.0,2024-05-18T20:30:00+00:00,3.0,ACCEPT,27.77777777777778,50.55555555555556,0.51,4.0,S,29.1,122.9,1.1334814230403283,FULL_ENV_READY
2024,6,Callum Ilott,231.728,,,2024-05-18T18:32:00Z,APPROXIMATE_POINT,,Liveblog says Ilott back on track for another qualifying run at 19:32 BST; later leaderboard shows 231.728 mph.,r5_2/manual/repeat_time_rescue_2024_seed_v1.csv,LIVEBLOG,Crash.net,2024-05-18 18:32:00+00:00,,0.0,MATCHED,OK,2024-05-18T19:00:00+00:00,28.0,ACCEPT,26.288995361328148,16.079492187500023,53.43764681454649,2.2281409460815413,141.7846759616485,986.0,2.961003065109253,23.0,878.0,0.0,2024-05-18T18:30:00+00:00,2.0,ACCEPT,26.666666666666668,48.888888888888886,0.57,3.0,WSW,29.11,120.025,1.1390947007193317,FULL_ENV_READY
2024,6,Callum Ilott,232.23,,,2024-05-18T20:37:00Z,APPROXIMATE_POINT,,Liveblog records Ilott at 232.230 mph at 21:37 BST.,r5_2/manual/repeat_time_rescue_2024_seed_v1.csv,LIVEBLOG,Crash.net,2024-05-18 20:37:00+00:00,,0.0,MATCHED,OK,2024-05-18T21:00:00+00:00,23.0,ACCEPT,27.817010498046898,14.298699951171898,43.57108967096564,1.1729568342017824,134.87884600487365,985.4,1.5890091806650162,14.0,665.0,0.0,2024-05-18T20:30:00+00:00,7.0,ACCEPT,27.77777777777778,50.55555555555556,0.51,4.0,S,29.1,122.9,1.1334814230403283,FULL_ENV_READY
