catalogue_index,id,series,description,startTime,start_utc,start_indianapolis,filename,analysisFilename,indy_keyword,qual_keyword,500_keyword,inferred_year
148,027333f0270d41118f6eeccb9ddd25e5,IndyCar,104th Indianapolis 500 - Qualifying,1597503295,2020-08-15T14:54:55+00:00,2020-08-15T10:54:55-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/027333f0270d41118f6eeccb9ddd25e5.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/027333f0270d41118f6eeccb9ddd25e5.json,True,True,True,2020
149,027333f0270d41118f6eeccb9ddd25e5:1,IndyCar,104th Indianapolis 500 - Qualifying,1597516950,2020-08-15T18:42:30+00:00,2020-08-15T14:42:30-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/027333f0270d41118f6eeccb9ddd25e5_1.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/027333f0270d41118f6eeccb9ddd25e5_1.json,True,True,True,2020
183,03072250-77e5-43d5-9844-4550ecd8ae34,IndyCar,109th Running of the Indianapolis 500 - Qualifications - Day One,1747493865,2025-05-17T14:57:45+00:00,2025-05-17T10:57:45-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-17 14-57 IndyCar - 109th Running of the Indianapolis 500 - Qualifications - Day One.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-17 14-57 IndyCar - 109th Running of the Indianapolis 500 - Qualifications - Day One.json,True,True,True,2025
2147,23953b38c38342afa23912822f48df0f,IndyCar,105th Running of the Indianapolis 500 - Qualifying,1621789797,2021-05-23T17:09:57+00:00,2021-05-23T13:09:57-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/23953b38c38342afa23912822f48df0f.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/23953b38c38342afa23912822f48df0f.json,True,True,True,2021
3079,33f831b2-18fb-48b8-a363-c13df4b764d9,IndyCar,108th Running of the Indianapolis 500 - Qualifications - Top 12,1716145361,2024-05-19T19:02:41+00:00,2024-05-19T15:02:41-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-19 19-02 IndyCar - 108th Running of the Indianapolis 500 - Qualifications - Top 12.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-19 19-02 IndyCar - 108th Running of the Indianapolis 500 - Qualifications - Top 12.json,True,True,True,2024
3305,372f28bae3744a08b76546f2add30b2d,IndyCar,102nd Indianapolis 500 - Qualifying,1526841574,2018-05-20T18:39:34+00:00,2018-05-20T14:39:34-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/372f28bae3744a08b76546f2add30b2d.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/372f28bae3744a08b76546f2add30b2d.json,True,True,True,2018
3490,3a2e3c4a0453452f8a5ab50b967bf62b,IndyCar,105th Running of the Indianapolis 500 - Qualifying,1621698897,2021-05-22T15:54:57+00:00,2021-05-22T11:54:57-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/3a2e3c4a0453452f8a5ab50b967bf62b.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/3a2e3c4a0453452f8a5ab50b967bf62b.json,True,True,True,2021
3882,4146f406-154f-4065-bd5f-10d0bd349b77,IndyCar,108th Running of the Indianapolis 500 - Qualifications - Day One,1716044276,2024-05-18T14:57:56+00:00,2024-05-18T10:57:56-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-18 14-57 IndyCar - 108th Running of the Indianapolis 500 - Qualifications - Day One.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-18 14-57 IndyCar - 108th Running of the Indianapolis 500 - Qualifications - Day One.json,True,True,True,2024
4230,46688442-a91a-4dc0-94c1-a968f9a03958,IndyCar,108th Running of the Indianapolis 500 - Qualifications - Fast 6,1716153763,2024-05-19T21:22:43+00:00,2024-05-19T17:22:43-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-19 21-22 IndyCar - 108th Running of the Indianapolis 500 - Qualifications - Fast 6.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-19 21-22 IndyCar - 108th Running of the Indianapolis 500 - Qualifications - Fast 6.json,True,True,True,2024
4727,4e88a49a90e64324a4cac3a85f679dc8,IndyCar,102nd Indianapolis 500 - Qualifying,1526846025,2018-05-20T19:53:45+00:00,2018-05-20T15:53:45-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/4e88a49a90e64324a4cac3a85f679dc8.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/4e88a49a90e64324a4cac3a85f679dc8.json,True,True,True,2018
