source_path,speed_hits,semantic_hits,text
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,230.345,,"Foyt Enterprises"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""20"", ""Difference"": null, ""DriverName"": ""Conor Daly"", ""DriverOverrideID"": 4218, ""DriverUrl"": ""/Drivers/Conor-Daly"", ""DriversID"": 4218, ""ElapsedTime"": ""02:35.8451"", ""EventsEntrylistID"": 34656, ""EventsSessionsDetailsID"": 105061, ""EventsSessionsID"": 6033, ""FirstName"": ""Conor"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Daly"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 18, ""PositionStart"": null, ""QualLap1"": "" 38.7183"", ""QualLap2"": "" 38.8838"", ""QualLap3"": "" 38.9911"", ""QualLap4"": "" 39.2519"", ""SpeedAvg"": 230.999, ""SpeedAvgFormatted"": ""230.999"", ""Status"": null, ""TeamName"": ""ECR"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""77"", ""Difference"": null, ""DriverName"": ""Callum Ilott"", ""DriverOverrideID"": 4939, ""DriverUrl"": null, ""DriversID"": 4939, ""ElapsedTime"": ""02:35.8707"", ""EventsEntrylistID"": 34667, ""EventsSessionsDetailsID"": 105062, ""EventsSessionsID"": 6033, ""FirstName"": ""Callum"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Ilott"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 19, ""PositionStart"": null, ""QualLap1"": "" 38.8151"", ""QualLap2"": "" 38.8849"", ""QualLap3"": "" 38.9907"", ""QualLap4"": "" 39.1800"", ""SpeedAvg"": 230.961, ""SpeedAvgFormatted"": ""230.961"", ""Status"": null, ""TeamName"": ""Juncos Hollinger Racing"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""27"", ""Difference"": null, ""DriverName"": ""Alexander Rossi"", ""DriverOverrideID"": 4587, ""DriverUrl"": ""/Drivers/Alexander-Rossi"", """
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,226.108,,"Foyt Enterprises"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""6"", ""Difference"": null, ""DriverName"": ""Juan Pablo Montoya"", ""DriverOverrideID"": 4002, ""DriverUrl"": null, ""DriversID"": 4002, ""ElapsedTime"": ""02:37.4655"", ""EventsEntrylistID"": 34670, ""EventsSessionsDetailsID"": 105073, ""EventsSessionsID"": 6033, ""FirstName"": ""Juan Pablo"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Montoya"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 30, ""PositionStart"": null, ""QualLap1"": "" 39.2195"", ""QualLap2"": "" 39.2360"", ""QualLap3"": "" 39.4915"", ""QualLap4"": "" 39.5185"", ""SpeedAvg"": 228.622, ""SpeedAvgFormatted"": ""228.622"", ""Status"": null, ""TeamName"": ""Arrow McLaren"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""30"", ""Difference"": null, ""DriverName"": ""Christian Lundgaard"", ""DriverOverrideID"": 4938, ""DriverUrl"": ""/Drivers/Christian-Lundgaard"", ""DriversID"": 4938, ""ElapsedTime"": ""02:38.5531"", ""EventsEntrylistID"": 34662, ""EventsSessionsDetailsID"": 105074, ""EventsSessionsID"": 6033, ""FirstName"": ""Christian"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Lundgaard"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 31, ""PositionStart"": null, ""QualLap1"": "" 39.5436"", ""QualLap2"": "" 39.3861"", ""QualLap3"": "" 39.7186"", ""QualLap4"": "" 39.9048"", ""SpeedAvg"": 227.053, ""SpeedAvgFormatted"": ""227.053"", ""Status"": null, ""TeamName"": ""Rahal Letterman Lanigan Racing"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""45"", ""Difference"": null, ""DriverName"": ""Jack Harvey"", ""DriverOverrideID"
weather/evidence/rescue/official_day1_session_details/report_text_v1/2022_6033_01_Results.txt,226.108|230.345,retired|withdrawn,"Event: 106th Running of the Indianapolis 500 Round 6 Track: Indianapolis Motor Speedway 2.5 mile(s) Report: Official Qualification Results NTT INDYCAR SERIES Session: Qualifications - Day 1 May 21, 2022 Rank Car Driver Name C/E/T Lap 1 Lap 2 Lap 3 Lap 4 Total Time Speed Qualified On Status 1 21 VeeKay, Rinus D/C/F 38.3465 38.4745 38.5681 38.6839 02:34.0730 233.655 Day 1 2 5 O'Ward, Pato D/C/F 38.5602 38.5975 38.6591 38.6652 02:34.4820 233.037 Day 1 3 7 Rosenqvist, Felix D/C/F 38.5419 38.6049 38.8046 38.7044 02:34.6558 232.775 Day 1 4 10 Palou, Alex D/H/F 38.5293 38.5976 38.6919 38.8377 02:34.6565 232.774 Day 1 5 1 Kanaan, Tony D/H/F 38.5968 38.6797 38.7326 38.7464 02:34.7555 232.625 Day 1 6 48 Johnson, Jimmie D/H/F 38.6043 38.7216 38.7707 38.8104 02:34.9070 232.398 Day 1 7 33 Carpenter, Ed D/C/F 38.6342 38.6611 38.7016 38.9107 02:34.9076 232.397 Day 1 8 8 Ericsson, Marcus D/H/F 38.6717 38.7254 38.7977 38.7942 02:34.9890 232.275 Day 1 9 28 Grosjean, Romain D/H/F 38.6937 38.7306 38.8006 38.8129 02:35.0378 232.201 Day 1 10 9 Dixon, Scott D/H/F 38.6681 38.7453 38.7964 38.8618 02:35.0716 232.151 Day 1 11 12 Power, Will D/C/F 38.7121 38.7537 38.8492 38.9634 02:35.2784 231.842 Day 1 12 51 Sato, Takuma D/H/F 38.7127 38.8115 38.9199 38.9238 02:35.3679 231.708 Day 1 13 18 Malukas, David D/H/F 38.7127 38.7587 39.0368 38.9274 02:35.4356 231.607 Day 1 14 2 Newgarden, Josef D/C/F 38.5920 38.7375 38.9300 39.1946 02:35.4541 231.580 Day 1 15 23 Ferrucci, Santino D/C/F 38.7531 38.8385 38.9056 39.0047 02:35.5019 231.508 Day 1 16 60 Pagenaud, Simon D/H/F 38.7615 38.8390 39.0138 39.0447 02:35.6590 231.275 Day 1 17 11 Hildebrand, JR D/C/F 38.8600 38.9412 38.9735 38.9937 02:35.7684 231.112 Day 1 18 20 Daly, Conor D/C/F 38.7183 38.8838 38.9911 39.2519 02:35.8451 230.999 Day 1 19 77 Ilott, Call"
weather/evidence/rescue/official_day1_session_details/report_text_v1/2023_6202_04_Section_Results.txt,226.108,,"Event: 107th Running of the Indianapolis 500 Round 6 Track: Indianapolis Motor Speedway 2.5 mile(s) Report: Section Data Report NTT INDYCAR SERIES Session: Qualifications - Day One May 20, 2023 Section Data for Car 2 - Newgarden, Josef Lap T/SSF to T1 T1 to SS1 SS1 to T2 T2 to BS BS to T3 T3 to SS2 SS2 to T4 T4 to FS FS to SF Lap PI to PO PO to SF SF to PI T 2.8174 4.7746 4.8524 4.8436 4.7954 4.8696 4.9091 3.0998 3.6230 38.5849 55.7400 1 S 239.099 235.622 231.844 232.265 234.600 231.025 229.166 232.273 236.369 233.252 149.379 T 2.8138 4.7793 4.8678 4.8622 4.7990 4.8767 4.9158 3.1062 3.6370 38.6578 2 S 239.404 235.390 231.111 231.377 234.424 230.689 228.854 231.794 235.459 232.812 T 2.8338 4.8091 4.8922 4.8677 4.8021 4.8894 4.9303 3.1118 3.6371 38.7735 3 S 237.715 233.932 229.958 231.115 234.273 230.090 228.181 231.377 235.452 232.117 T 2.8334 4.8137 4.8938 4.8627 4.7988 4.8930 4.9370 3.1158 3.6462 38.7944 4 S 237.748 233.708 229.883 231.353 234.434 229.920 227.871 231.080 234.865 231.992 T 3.3810 5.5682 5.5494 5.3907 5.0559 4.9866 4.9517 3.1037 3.6264 41.6136 5278.7302 56.4669 51.7027 5 S 199.242 202.040 202.725 208.693 222.512 225.605 227.195 231.981 236.147 216.275 0.301 147.456 156.375 T 2.8225 4.7879 4.8734 4.8602 4.8187 4.8953 3.6224 38.6863 6 S 238.667 234.967 230.845 231.472 233.465 229.812 236.408 232.640 T 2.8205 4.7932 4.8768 4.8621 4.8288 4.9042 4.9225 3.0991 3.6226 38.7298 7 S 238.836 234.708 230.684 231.382 232.977 229.395 228.542 232.326 236.395 232.379 T 2.8168 4.7872 4.8707 4.8665 4.8350 4.9015 4.9208 3.1031 3.6246 38.7262 8 S 239.150 235.002 230.973 231.172 232.678 229.522 228.621 232.026 236.264 232.401 T 2.8132 4.7890 4.8814 4.8803 4.8365 4.9124 4.9233 3.1037 3.6218 38.7616 9 S 239.456 234.913 230.467 230.519 232.606 229.012 228.505 231.981 236.447 23"
weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_02_Section_Results.txt,226.108,,"Event: 104th Indianapolis 500 Round 7 Track: Indianapolis Motor Speedway 2.5 mile(s) Report: Section Data Report NTT IndyCar Series Session: Qualifications - Day 1 August 15, 2020 Section Data for Car 1 - Newgarden, Josef Lap T/SSF to T1 T1 to SS1 SS1 to T2 T2 to BS BS to T3 T3 to SS2 SS2 to T4 T4 to FS FS to SF Lap PI to PO PO to SF SF to PI T 2.8710 4.8729 4.9489 4.8871 4.8131 4.9070 4.9611 3.1318 3.6644 39.0573 50.4946 1 S 234.635 230.869 227.323 230.198 233.737 229.264 226.764 229.900 233.698 230.431 164.896 T 2.8564 4.8685 4.9479 4.8925 4.8135 4.9133 4.9664 3.1368 3.6658 39.0611 2 S 235.834 231.077 227.369 229.944 233.718 228.970 226.522 229.533 233.609 230.408 T 2.8548 4.8722 4.9576 4.8961 4.8094 4.9124 4.9731 3.1366 3.6645 39.0767 3 S 235.966 230.902 226.924 229.775 233.917 229.012 226.217 229.548 233.692 230.316 T 2.8549 4.8709 4.9625 4.9004 4.8150 4.9232 4.9845 3.1420 3.6718 39.1252 4 S 235.958 230.963 226.700 229.573 233.645 228.510 225.700 229.153 233.227 230.031 T 3.2414 5.2250 5.1035 4.9530 4.8536 4.9328 4.9788 3.1470 3.6876 40.1227 8484.3486 50.7588 49.6492 5 S 207.823 215.311 220.437 227.135 231.787 228.065 225.958 228.789 232.228 224.312 0.188 164.038 162.843 T 2.8784 4.8755 4.9610 4.9135 4.8374 4.9277 4.9838 3.1468 3.6843 39.2084 6 S 234.032 230.746 226.769 228.961 232.563 228.301 225.731 228.804 232.436 229.543 T 2.8777 4.8821 4.9701 4.9397 45.3336 7 S 234.088 230.434 226.354 227.747 178.345 Information provided by Indy Racing Information System - Copyright INDYCAR 2020 Page 1 of 34 Event: 104th Indianapolis 500 Round 7 Track: Indianapolis Motor Speedway 2.5 mile(s) Report: Section Data Report NTT IndyCar Series Session: Qualifications - Day 1 August 15, 2020 Section Data for Car 10 - Rosenqvist, Felix Lap T/SSF to T1 T1 to SS1 SS1 to T2 T2 to BS BS to"
weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,230.345,,"(98) Marco Andretti, Honda, 02:36.2875 (230.345) 24."
weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/NBC_2022_DAY1.html,230.345,,"(98) Marco Andretti, Honda, 02:36.2875 (230.345) 24."
weather/output/unified_attempt_chronology_constraint_ledger_v2.csv,,qualifying run,"Official session start was 11:00 ET."" 2022,3f221659-74ff-5901-97dc-08071a734690,INDY500_DAY1_2022,51,Takuma Sato,1,ORDERING_ONLY,,,,,,,,,,DISALLOWED,True,False,False,Existing R1G.3 rescue evidence preserved unchanged semantically.,R1G3-2022-51-BEFORE-MARCO,R1G3_SEEDED,INDYCAR_OFFICIAL_EDITORIAL,Paddock Buzz: Sato Sneaks into Fast 12 after Eventful Day,https://www.indycar.com/news/2022/05/05-21-buzz,33,THIS_ATTEMPT_BEFORE_MARCO_ANDRETTI_ATTEMPT,INDYCAR states Sato's 232.196 mph run was followed by Marco Andretti beginning the next qualifying run; Sato was penalized for impeding Andretti."
weather/output/chronology_rescue_2022_adjudicated_evidence_v3.csv,,qualifying run,"R1G3-2022-51-BEFORE-MARCO,2022,INDY500_DAY1_2022,51,Takuma Sato,232.196,33,Failed Attempt,ORDERING_ONLY,,,,98,,THIS_ATTEMPT_BEFORE_MARCO_ANDRETTI_ATTEMPT,INDYCAR_OFFICIAL_EDITORIAL,https://www.indycar.com/news/2022/05/05-21-buzz,Paddock Buzz: Sato Sneaks into Fast 12 after Eventful Day,INDYCAR states Sato's 232.196 mph run was followed by Marco Andretti beginning the next qualifying run; Sato was penalized for impeding Andretti.,R1G3_SEEDED,ACCEPTED_EXISTING,True,False,False,Existing R1G.3 rescue evidence preserved unchanged semantically."
weather/output/chronology_rescue_2022_evidence_with_attempt_ids_v1.csv,,second attempt|qualifying run,"Official session start was 11:00 ET."",R1G3_SEEDED,ACCEPTED_EXISTING,True,False,False,Existing R1G.3 rescue evidence preserved unchanged semantically.,8c6dd650-69c2-52af-8840-a92c88cb517e,LINKED_BY_UNIQUE_RESULT_MATCH R1G3-2022-51-BEFORE-MARCO,2022,INDY500_DAY1_2022,51,Takuma Sato,232.196,33,Failed Attempt,ORDERING_ONLY,,,,98,,THIS_ATTEMPT_BEFORE_MARCO_ANDRETTI_ATTEMPT,INDYCAR_OFFICIAL_EDITORIAL,https://www.indycar.com/news/2022/05/05-21-buzz,Paddock Buzz: Sato Sneaks into Fast 12 after Eventful Day,INDYCAR states Sato's 232.196 mph run was followed by Marco Andretti beginning the next qualifying run; Sato was penalized for impeding Andretti.,R1G3_SEEDED,ACCEPTED_EXISTING,True,False,False,Existing R1G.3 rescue evidence preserved unchanged semantically.,3f221659-74ff-5901-97dc-08071a734690,LINKED_BY_UNIQUE_RESULT_MATCH R1G3-2022-SESSION-START,2022,INDY500_DAY1_2022,,,,,,SESSION_BOUNDARY,2022-05-21T15:00:00Z,2022-05-21T15:00:00Z,2022-05-21T15:00:00Z,,,,INDYCAR_OFFICIAL_EDITORIAL,https://www.indycar.com/News/2022/05/05-20-QualsChange,Start of Indy Qualifying Moved Up Saturday Due to Forecast,Official revised schedule sets Day 1 qualifying start at 11:00 ET on 21 May 2022.,R1G3_SEEDED,ACCEPTED_EXISTING,True,False,False,Existing R1G.3 rescue evidence preserved unchanged semantically.,,SESSION_LEVEL_OR_NO_RESULT_ROW R1G6-BDBAF01B5E1F4111,2022,INDY500_DAY1_2022,51,Takuma Sato,232.196,33,Failed Attempt,ORDERING_ONLY,,,,51,231.708,SATO_232.196_FAILED_ATTEMPT_BEFORE_SATO_231.708_SECOND_ATTEMPT,INDYCAR_OFFICIAL_EDITORIAL+INDYCAR_OFFICIAL_RESULTS,https://www.indycar.com/news/2022/05/05-21-day1-quals,2022 Day 1 Qualifying Recap,Official editorial states Sato was forced to make a second attempt after his first 232.196 mph run was disallowed."
