domain,evidence_id,driver_name,subject_attempt_id,related_attempt_id,stage_or_family,semantic,rank,cutoff_rank,classification,pre_decision_feature_allowed,reason
DECISION_STATE,R2C3-2022-MCLAUGHLIN-01,Scott McLaughlin,,,PRE_ACTION_EXISTING_RESULT,EXISTING_15TH_PLACE_RESULT_BEFORE_LANE1_ACTION,15,12,PRE_DECISION_ADMISSIBLE,True,Source semantic explicitly places this state before the historical action/repeat.
DECISION_STATE,R2C3-2022-MCLAUGHLIN-02,Scott McLaughlin,,,POST_RERUN_SEQUENCE,LATER_TEMPORAL_RANK_AFTER_TRACK_REOPENED,26,12,POST_ACTION_NOT_ADMISSIBLE,False,Evidence describes a state reached after the repeat/rerun action and therefore cannot be an input to the earlier decision.
DECISION_STATE,R2C3-2022-ROSSI-01,Alexander Rossi,1e2facfd-2c67-5b5a-9556-04ef28eeb0d8,b3147013-0fda-5982-bea1-85788019ef89,PRE_SECOND_RUN,ROSSI_PRE_SECOND_RUN_RANK,15,12,REVIEW_REQUIRED,False,Temporal relationship to the decision point is not explicit enough for automatic promotion.
DECISION_STATE,R2C3-2022-ROSSI-02,Alexander Rossi,b3147013-0fda-5982-bea1-85788019ef89,1e2facfd-2c67-5b5a-9556-04ef28eeb0d8,POST_SECOND_RUN,ROSSI_POST_SECOND_RUN_RANK,21,12,POST_ACTION_NOT_ADMISSIBLE,False,Evidence describes a state reached after the repeat/rerun action and therefore cannot be an input to the earlier decision.
DECISION_STATE,R2C3-2022-MALUKAS-01,David Malukas,85c917fa-1c7a-52cb-a47f-468b4bdae9a5,619575d3-e7eb-5cce-886f-0a8485b98eba,POST_REPEAT_PROVISIONAL,POST_REPEAT_PROVISIONAL_TOP12_STATE,12,12,POST_ACTION_NOT_ADMISSIBLE,False,Evidence describes a state reached after the repeat/rerun action and therefore cannot be an input to the earlier decision.
DECISION_STATE,R2C3-2022-SATO-01,Takuma Sato,21e8c99e-b04c-516d-85a8-ccfbaed7ff46,3f221659-74ff-5901-97dc-08071a734690,POST_REATTEMPT_PROVISIONAL,SATO_TO_P12_DISPLACES_MALUKAS_FROM_TOP12,12,12,POST_ACTION_NOT_ADMISSIBLE,False,Evidence describes a state reached after the repeat/rerun action and therefore cannot be an input to the earlier decision.
DECISION_STATE,R2C3-2022-MALUKAS-02,David Malukas,85c917fa-1c7a-52cb-a47f-468b4bdae9a5,21e8c99e-b04c-516d-85a8-ccfbaed7ff46,POST_SATO_DISPLACEMENT,PROVISIONAL_P12_THEN_DISPLACED_OUTSIDE_TOP12,UNKNOWN,12,POST_ACTION_NOT_ADMISSIBLE,False,Evidence describes a state reached after the repeat/rerun action and therefore cannot be an input to the earlier decision.
QUEUE,R2D3-2022-MCLAUGHLIN-01,Scott McLaughlin,,,EXPLICIT_QUEUE_POSITION,FRONT_OF_LANE1_QUEUE_AFTER_WITHDRAWING_EXISTING_RESULT,15,,TRANSITION_EVIDENCE_ONLY,False,"Queue state occurs after the driver chose to withdraw the existing result. It is an action consequence, not a pre-action input."
QUEUE,R2D3-2022-ILOTT-01,Callum Ilott,8fa25fec-e5a6-5844-b3d7-f67c9dc91378,3cd6d98a-da75-5822-8dae-05e83ad8457c,RETAKE_RUN_ORDER,FIRST_RETAKE_RUN,UNKNOWN,,ORDERING_EVIDENCE_ONLY,False,Evidence supports run ordering only; it does not establish a pre-decision queue state.
QUEUE,R2D3-2022-MALUKAS-01,David Malukas,85c917fa-1c7a-52cb-a47f-468b4bdae9a5,619575d3-e7eb-5cce-886f-0a8485b98eba,GENERIC_QUEUE_MEMBERSHIP,PUT_IN_LINE_FOR_REPEAT_RUN,UNKNOWN,,TRANSITION_EVIDENCE_ONLY,False,"Generic line membership belongs to the repeat/reattempt process after action commitment, not to the state before choosing the action."
QUEUE,R2D3-2022-SATO-01,Takuma Sato,21e8c99e-b04c-516d-85a8-ccfbaed7ff46,3f221659-74ff-5901-97dc-08071a734690,GENERIC_QUEUE_MEMBERSHIP,PUT_IN_LINE_FOR_REATTEMPT,UNKNOWN,,TRANSITION_EVIDENCE_ONLY,False,"Generic line membership belongs to the repeat/reattempt process after action commitment, not to the state before choosing the action."
QUEUE,R2D3-2022-MALUKAS-SATO-ORDER-01,David Malukas,85c917fa-1c7a-52cb-a47f-468b4bdae9a5,21e8c99e-b04c-516d-85a8-ccfbaed7ff46,RELATIVE_RUN_ORDER,MALUKAS_SECOND_BEFORE_SATO_SECOND,UNKNOWN,,ORDERING_EVIDENCE_ONLY,False,Evidence supports run ordering only; it does not establish a pre-decision queue state.
