check_id,value,expected,pass,details
canonical_data_mutated,0,0,YES,Compared 13 baseline hashes; changed: none
phase8b_frozen_outputs_mutated,0,0,YES,Compared 9 baseline hashes; changed: none
phase4a5_frozen_outputs_mutated,0,0,YES,Compared 6 baseline hashes; changed: none
chronology_rescue_outputs_mutated,0,0,YES,Compared 18 baseline hashes; changed: none
queue_wait_inferred,0,0,YES,R2A script contains no reconstruction/promotion operation; registry and report retain explicit authority/scope labels.
lane_assignment_inferred,0,0,YES,R2A script contains no reconstruction/promotion operation; registry and report retain explicit authority/scope labels.
leaderboard_reconstructed,0,0,YES,R2A script contains no reconstruction/promotion operation; registry and report retain explicit authority/scope labels.
cutoff_reconstructed,0,0,YES,R2A script contains no reconstruction/promotion operation; registry and report retain explicit authority/scope labels.
result_order_used_as_chronology,0,0,YES,R2A script contains no reconstruction/promotion operation; registry and report retain explicit authority/scope labels.
timing71_promoted_as_official,0,0,YES,R2A script contains no reconstruction/promotion operation; registry and report retain explicit authority/scope labels.
current_live_state_used_as_historical,0,0,YES,R2A script contains no reconstruction/promotion operation; registry and report retain explicit authority/scope labels.
baseline_all_protected_files_changed,0,0,YES,Compared 225 preexisting protected hashes; changed: none
allowed_promotion_status_values,0,0,YES,Registry validation.
target_years_present,5,5,YES,Coverage matrix contains 2020-2024 exactly once.
structured_resources_field_inventoried,924,>0,YES,924 resource/path field rows.
historical_probe_requested_vs_returned_session,6382->6736,different/current,YES,Confirms tested sessionid parameter did not select 2024 historical payload.
existing_regression_tests,30/30,PASS,YES,/Users/fengzhecharlieli/.cache/codex-runtimes/codex-primary-runtime/dependencies/python/bin/python3 -m unittest tests.test_pipeline; exit_code=0; result=PASS
