csv_path,has_car_number_column,row_count,observed_literal_car_numbers,numeric_collision_detected,leading_zero_present,contains_known_collision_numeric_key,risk_class,notes
weather/output/attempt_performance_baseline_predictions_v1.csv,True,615,1|10|11|12|14|15|16|18|2|20|21|22|24|25|26|27|28|29|3|30|33|4|41|44|45|47|48|5|50|51|55|59|6|60|66|67|7|75|77|8|81|86|88|9|98,False,False,True,POTENTIAL_PRIOR_NORMALIZATION,"File contains a numeric-equivalent key known to collide in canonical data, but no leading-zero literal is visible. Review provenance/script."
weather/output/attempt_performance_model_matrix_v1.csv,True,123,1|10|11|12|14|15|16|18|2|20|21|22|24|25|26|27|28|29|3|30|33|4|41|44|45|47|48|5|50|51|55|59|6|60|66|67|7|75|77|8|81|86|88|9|98,False,False,True,POTENTIAL_PRIOR_NORMALIZATION,"File contains a numeric-equivalent key known to collide in canonical data, but no leading-zero literal is visible. Review provenance/script."
weather/output/attempt_performance_repeat_delta_context_v1.csv,True,40,11|12|16|18|2|20|21|25|26|27|29|3|33|4|47|5|59|60|66|7|77|8|81|86|88|9|98,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_action_lane_evidence_v1.csv,True,1,3,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_adjudicated_evidence_v2.csv,True,7,21|5|51|7,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_adjudicated_evidence_v3.csv,True,9,2|21|3|5|51|7,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_adjudicated_evidence_v4.csv,True,13,2|21|3|5|51|7,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_adjudicated_evidence_v5.csv,True,15,2|21|3|5|51|7,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_attempt_coverage_gap_audit_v1.csv,True,44,06|1|10|11|12|14|15|18|2|20|21|23|24|25|26|27|28|29|3|30|33|4|45|48|5|51|6|60|7|77|8|9|98,True,True,True,VISIBLE_LITERAL_COLLISION,File contains multiple literal car numbers that collapse numerically. String identity must be preserved.
weather/output/chronology_rescue_2022_attempt_coverage_gap_audit_v2.csv,True,44,06|1|10|11|12|14|15|18|2|20|21|23|24|25|26|27|28|29|3|30|33|4|45|48|5|51|6|60|7|77|8|9|98,True,True,True,VISIBLE_LITERAL_COLLISION,File contains multiple literal car numbers that collapse numerically. String identity must be preserved.
