resource_id,discovery_phase,domain,year,events_session_id,resource_class,source_authority,source_url,endpoint_template,http_method,query_parameters,payload_parameters,response_type,response_schema_summary,historical_query_supported,lane_fields_present,queue_fields_present,leaderboard_fields_present,rank_fields_present,cutoff_fields_present,withdraw_fields_present,timestamp_fields_present,race_control_fields_present,session_state_fields_present,tested,http_status,raw_evidence_path,evidence_quality,promotion_status,notes
official_results_session_2020,R2A,www.indycar.com,2020,5771,HISTORICAL_RESULTS_AND_REPORT_INDEX,OFFICIAL_FIRST_PARTY,https://www.indycar.com/api/results/EventsSessionDetails?id=5771,/api/results/EventsSessionDetails?id=<EventsSessionID>,GET,id=5771,,application/json,"Event/session metadata; SessionReports; final result records including QualLap1-4, status and final position",YES,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,LOCAL_RESCUED_COPY,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,HIGH,HISTORICAL_DATA_CONFIRMED,"SessionReports types: Results, Section Results, Top Section Times. PositionFinish and Status are final-result fields; SessionDate is session-level. No contemporaneous event timestamp, lane, queue, cutoff, or race-control field observed."
official_results_session_2021,R2A,www.indycar.com,2021,5838,HISTORICAL_RESULTS_AND_REPORT_INDEX,OFFICIAL_FIRST_PARTY,https://www.indycar.com/api/results/EventsSessionDetails?id=5838,/api/results/EventsSessionDetails?id=<EventsSessionID>,GET,id=5838,,application/json,"Event/session metadata; SessionReports; final result records including QualLap1-4, status and final position",YES,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,LOCAL_RESCUED_COPY,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,HIGH,HISTORICAL_DATA_CONFIRMED,"SessionReports types: Results, Section Results, Top Section Times. PositionFinish and Status are final-result fields; SessionDate is session-level. No contemporaneous event timestamp, lane, queue, cutoff, or race-control field observed."
official_results_session_2022,R2A,www.indycar.com,2022,6033,HISTORICAL_RESULTS_AND_REPORT_INDEX,OFFICIAL_FIRST_PARTY,https://www.indycar.com/api/results/EventsSessionDetails?id=6033,/api/results/EventsSessionDetails?id=<EventsSessionID>,GET,id=6033,,application/json,"Event/session metadata; SessionReports; final result records including QualLap1-4, status and final position",YES,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,LOCAL_RESCUED_COPY,weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,HIGH,HISTORICAL_DATA_CONFIRMED,"SessionReports types: Results, Section Results, Top Section Times. PositionFinish and Status are final-result fields; SessionDate is session-level. No contemporaneous event timestamp, lane, queue, cutoff, or race-control field observed."
official_results_session_2023,R2A,www.indycar.com,2023,6202,HISTORICAL_RESULTS_AND_REPORT_INDEX,OFFICIAL_FIRST_PARTY,https://www.indycar.com/api/results/EventsSessionDetails?id=6202,/api/results/EventsSessionDetails?id=<EventsSessionID>,GET,id=6202,,application/json,"Event/session metadata; SessionReports; final result records including QualLap1-4, status and final position",YES,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,LOCAL_RESCUED_COPY,weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,HIGH,HISTORICAL_DATA_CONFIRMED,"SessionReports types: Overall Results, Results, Results, Section Results, Top Section Times. PositionFinish and Status are final-result fields; SessionDate is session-level. No contemporaneous event timestamp, lane, queue, cutoff, or race-control field observed."
official_results_session_2024,R2A,www.indycar.com,2024,6382,HISTORICAL_RESULTS_AND_REPORT_INDEX,OFFICIAL_FIRST_PARTY,https://www.indycar.com/api/results/EventsSessionDetails?id=6382,/api/results/EventsSessionDetails?id=<EventsSessionID>,GET,id=6382,,application/json,"Event/session metadata; SessionReports; final result records including QualLap1-4, status and final position",YES,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,LOCAL_RESCUED_COPY,weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,HIGH,HISTORICAL_DATA_CONFIRMED,"SessionReports types: Results, Section Results, Top Section Times. PositionFinish and Status are final-result fields; SessionDate is session-level. No contemporaneous event timestamp, lane, queue, cutoff, or race-control field observed."
official_day1_pdf_attempt_rows,R2A,imscdn.com,2020-2024,,PARSED_OFFICIAL_RESULTS_PDF_ROWS,OFFICIAL_FIRST_PARTY,SessionReports Results PDF URLs recovered through EventsSessionDetails,PDF links in SessionReports,GET,,,PDF parsed to CSV,"320 official report rows with four-lap values, elapsed duration and status labels",YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,LOCAL_PARSED_OFFICIAL_REPORTS,weather/output/official_day1_results_attempt_rows_v1.csv,HIGH_DERIVED_FROM_OFFICIAL_PDF,HISTORICAL_DATA_CONFIRMED,"Withdrawn/Bumped/Waved Off and related statuses are historical result-row labels without event timestamps. Elapsed time is run duration, not wall-clock chronology."
official_results_frontend_bundle,R2A,www.indycar.com,,,FRONTEND_API_ARCHITECTURE,OFFICIAL_FIRST_PARTY,https://www.indycar.com/results,/api/results/{SeasonDropDown|EventsByYearSeries|EventsSessionDetails},GET,id; year; series,,javascript + JSON,Results-navigation API chain and SessionReports rendering logic,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,LOCAL_RESCUED_COPY,weather/evidence/rescue/official_dynamic_resources/2024_002_bundle.js,HIGH,ARCHITECTURE_CONFIRMED,"No additional live timing, race-control, SignalR, WebSocket, lane, or queue API route was found in the recovered Results bundle."
official_live_leaderboard_application,R2A,leaderboard.indycar.com,,,CURRENT_LIVE_LEADERBOARD_APPLICATION,OFFICIAL_FIRST_PARTY,https://leaderboard.indycar.com/,Next.js application shell and static chunks,GET,,,text/html + javascript,Current leaderboard UI backed by racecontrol blob JSON feeds,NOT_CONFIRMED,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,LOCAL_RESCUED_COPY,weather/evidence/rescue/official_lane_queue_live_resources/current_leaderboard_page.html,HIGH_FOR_ARCHITECTURE_ONLY,ARCHITECTURE_CONFIRMED,Official current application architecture only. No source-map reference or historical page/session route was observed in the rescued shell/chunks.
official_live_timing_current,R2A,indycar.blob.core.windows.net,,,CURRENT_LIVE_TIMING_JSON,OFFICIAL_FIRST_PARTY,https://indycar.blob.core.windows.net/racecontrol/timingscoring-ris.json,https://indycar.blob.core.windows.net/racecontrol/timingscoring-ris.json,GET,cache-busting timestamp only in current frontend,,application/json,See field inventory,NOT_CONFIRMED,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,LOCAL_RESCUED_COPY,weather/evidence/rescue/official_lane_queue_live_resources/current_timingscoring-ris.json,HIGH_FOR_ARCHITECTURE_ONLY,DATA_RETURNED,Rescued current feed. It is not evidence for 2020-2024 historical state and exposes no confirmed historical session selector.
official_track_activity_current,R2A,indycar.blob.core.windows.net,,,CURRENT_TRACK_ACTIVITY_AND_RESULTS_JSON,OFFICIAL_FIRST_PARTY,https://indycar.blob.core.windows.net/racecontrol/trackactivityleaderboardfeed.json,https://indycar.blob.core.windows.net/racecontrol/trackactivityleaderboardfeed.json,GET,cache-busting timestamp only in current frontend,,application/json,See field inventory,NOT_CONFIRMED,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,LOCAL_RESCUED_COPY,weather/evidence/rescue/official_lane_queue_live_resources/current_trackactivityleaderboardfeed.json,HIGH_FOR_ARCHITECTURE_ONLY,DATA_RETURNED,Rescued current feed. It is not evidence for 2020-2024 historical state and exposes no confirmed historical session selector.
official_schedule_current,R2A,indycar.blob.core.windows.net,,,CURRENT_SCHEDULE_JSON,OFFICIAL_FIRST_PARTY,https://indycar.blob.core.windows.net/racecontrol/schedulefeed.json,https://indycar.blob.core.windows.net/racecontrol/schedulefeed.json,GET,cache-busting timestamp only in current frontend,,application/json,See field inventory,NOT_CONFIRMED,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,LOCAL_RESCUED_COPY,weather/evidence/rescue/official_lane_queue_live_resources/current_schedulefeed.json,HIGH_FOR_ARCHITECTURE_ONLY,DATA_RETURNED,Rescued current feed. It is not evidence for 2020-2024 historical state and exposes no confirmed historical session selector.
official_timing_config_current,R2A,indycar.blob.core.windows.net,,,CURRENT_TIMING_CONFIG_JSON,OFFICIAL_FIRST_PARTY,https://indycar.blob.core.windows.net/racecontrol/tsconfig.json,https://indycar.blob.core.windows.net/racecontrol/tsconfig.json,GET,cache-busting timestamp only in current frontend,,application/json,See field inventory,NOT_CONFIRMED,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,LOCAL_RESCUED_COPY,weather/evidence/rescue/official_lane_queue_live_resources/current_tsconfig.json,HIGH_FOR_ARCHITECTURE_ONLY,DATA_RETURNED,Rescued current feed. It is not evidence for 2020-2024 historical state and exposes no confirmed historical session selector.
