decision_id,year,session_regime,car_number,driver_name,decision_stage,current_speed_mph,current_rank_within_last_chance,qualification_state,bubble_speed_mph,gap_to_bubble_mph,observed_action,feasible_actions,action_quality,state_quality,exact_timestamp,exact_session_remaining_seconds,outcome,evidence_role,safe_for_policy_fit,note
2021_24_POST_GUARANTEED_BREAK,2021,LAST_ROW,24,Sage Karam,POST_GUARANTEED_BREAK,229.156,1,PROVISIONALLY_QUALIFIED,228.353,0.803,STOP,STOP|WITHDRAW_AND_REATTEMPT,HIGH,MEDIUM,,,QUALIFIED_P31,POLICY_FIT_CANDIDATE,True,Karam held one of the three qualifying positions after the guaranteed pass and did not make another attempt.
2021_12_POST_GUARANTEED_BREAK,2021,LAST_ROW,12,Will Power,POST_GUARANTEED_BREAK,228.876,2,PROVISIONALLY_QUALIFIED,228.353,0.523,STOP,STOP|WITHDRAW_AND_REATTEMPT,HIGH,MEDIUM,,,QUALIFIED_P32,POLICY_FIT_CANDIDATE,True,Power remained inside the qualifying three and did not make another Last Row attempt.
2021_16_POST_GUARANTEED_BREAK,2021,LAST_ROW,16,Simona De Silvestro,POST_GUARANTEED_BREAK,228.353,3,PROVISIONALLY_ON_BUBBLE,228.353,0.000,STOP,STOP|WITHDRAW_AND_REATTEMPT,HIGH,MEDIUM,,,QUALIFIED_P33,POLICY_FIT_CANDIDATE,True,De Silvestro occupied the third qualifying position and did not make another attempt.
2021_75_POST_GUARANTEED_BREAK,2021,LAST_ROW,75,RC Enerson,POST_GUARANTEED_BREAK,,4,OUTSIDE_FIELD,228.353,,REATTEMPT,STOP|REATTEMPT,HIGH,LOW,,,FAILED_TO_QUALIFY,ACTION_ONLY_UNTIL_FIRST_RUN_SPEED_RESOLVED,False,Enerson is known to have taken a second shot. His two official speeds exist but first-versus-second ordering is not yet independently resolved.
2021_11_POST_GUARANTEED_BREAK,2021,LAST_ROW,11,Charlie Kimball,POST_GUARANTEED_BREAK,,5,OUTSIDE_FIELD,228.353,,REATTEMPT,STOP|REATTEMPT,HIGH,LOW,,,FAILED_TO_QUALIFY,ACTION_ONLY_UNTIL_FIRST_RUN_SPEED_RESOLVED,False,Kimball is known to have taken a second shot. His two official speeds exist but first-versus-second ordering is not yet independently resolved.
2023_45_POST_GUARANTEED_BREAK,2023,LAST_CHANCE,45,Christian Lundgaard,POST_GUARANTEED_BREAK,229.649,1,PROVISIONALLY_QUALIFIED,229.159,0.490,STOP,STOP|WITHDRAW_AND_REATTEMPT,HIGH,HIGH,,,QUALIFIED_P31,POLICY_FIT_CANDIDATE,True,Held the fastest Last Chance result after the guaranteed pass and made no further attempt.
2023_51_POST_GUARANTEED_BREAK,2023,LAST_CHANCE,51,Sting Ray Robb,POST_GUARANTEED_BREAK,229.549,2,PROVISIONALLY_QUALIFIED,229.159,0.390,STOP,STOP|WITHDRAW_AND_REATTEMPT,HIGH,HIGH,,,QUALIFIED_P32,POLICY_FIT_CANDIDATE,True,Held P32 after the guaranteed pass and made no further attempt.
2023_15_POST_GUARANTEED_BREAK,2023,LAST_CHANCE,15,Graham Rahal,POST_GUARANTEED_BREAK,229.159,3,PROVISIONALLY_ON_BUBBLE,229.159,0.000,STOP,STOP|WITHDRAW_AND_REATTEMPT,HIGH,HIGH,,,ULTIMATELY_BUMPED_BY_HARVEY,POLICY_FIT_CANDIDATE,True,Rahal held the bubble after the guaranteed pass and chose not to withdraw his 229.159 mph result for another attempt.
2023_30_POST_GUARANTEED_BREAK,2023,LAST_CHANCE,30,Jack Harvey,POST_GUARANTEED_BREAK,,4,OUTSIDE_FIELD,229.159,,REATTEMPT,STOP|REATTEMPT,HIGH,MEDIUM,,,ULTIMATELY_QUALIFIED_P33,POLICY_FIT_CANDIDATE_WITH_PARTIAL_NUMERIC_STATE,True,Harvey was the only driver making multiple attempts. His precise first-run speed is not assigned in this panel yet.
2024_18_FINAL_DECISION,2024,LAST_CHANCE,18,Nolan Siegel,FINAL_DECISION,229.566,4,OUTSIDE_FIELD_AFTER_BUMP,229.974,-0.408,REATTEMPT,STOP|REATTEMPT,HIGH,HIGH,,,CRASH_INCOMPLETE_FAILED_TO_QUALIFY,HIGH_VALUE_REPLAY_AND_POLICY_CANDIDATE,True,Siegel was outside the field with a known 229.566 mph prior run. Rahal held the bubble at 229.974 mph. Siegel attempted the final run and crashed.
