model_version,distribution_id,regime,feasible_action,action_semantics,protection_semantics,wait_variable,distribution_family,support_level,shared_prior_group,support_point_minutes,probability_mass,probability_semantics,direct_queue_wait_observations,source_sensitivity_scenarios,source_file,source_policy_hash
R4F8F_WAIT_QUEUE_MODEL_V1,R4F8F_WAIT_QUEUE_MODEL_V1::DAY1::STOP,DAY1,STOP,NO_QUEUE_NO_WAIT_NO_NEW_ATTEMPT,CURRENT_PROTECTED_RESULT_RETAINED,LATENT_PRE_RUN_DELAY_TO_TIMED_RUN_START_MINUTES,POINT_MASS,DETERMINISTIC_RULE,NONE_STOP_RULE,0.000000,1.000000,DETERMINISTIC,0,0,FROZEN_ACTION_RULE,ACTION_CONTRACT
R4F8F_WAIT_QUEUE_MODEL_V1,R4F8F_WAIT_QUEUE_MODEL_V1::DAY1::RETAIN_AND_REATTEMPT,DAY1,RETAIN_AND_REATTEMPT,DAY1_LANE2_NON_PRIORITY,CURRENT_PROTECTED_RESULT_RETAINED,LATENT_PRE_RUN_DELAY_TO_TIMED_RUN_START_MINUTES,DISCRETE_MAXIMUM_ENTROPY_STRUCTURAL_PRIOR,WEAK_SHARED_STRUCTURAL_PRIOR_ZERO_DIRECT_WAIT_OBSERVATIONS,BROAD_LATENT_PRE_RUN_DELAY_PRIOR_V1,5.000000,0.250000,DECLARED_MAXIMUM_ENTROPY_WEIGHT_NOT_EMPIRICAL_FREQUENCY,0,4,weather/output/queue_wait_sensitivity_scenarios_v1.csv,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
R4F8F_WAIT_QUEUE_MODEL_V1,R4F8F_WAIT_QUEUE_MODEL_V1::DAY1::RETAIN_AND_REATTEMPT,DAY1,RETAIN_AND_REATTEMPT,DAY1_LANE2_NON_PRIORITY,CURRENT_PROTECTED_RESULT_RETAINED,LATENT_PRE_RUN_DELAY_TO_TIMED_RUN_START_MINUTES,DISCRETE_MAXIMUM_ENTROPY_STRUCTURAL_PRIOR,WEAK_SHARED_STRUCTURAL_PRIOR_ZERO_DIRECT_WAIT_OBSERVATIONS,BROAD_LATENT_PRE_RUN_DELAY_PRIOR_V1,15.000000,0.250000,DECLARED_MAXIMUM_ENTROPY_WEIGHT_NOT_EMPIRICAL_FREQUENCY,0,4,weather/output/queue_wait_sensitivity_scenarios_v1.csv,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
R4F8F_WAIT_QUEUE_MODEL_V1,R4F8F_WAIT_QUEUE_MODEL_V1::DAY1::RETAIN_AND_REATTEMPT,DAY1,RETAIN_AND_REATTEMPT,DAY1_LANE2_NON_PRIORITY,CURRENT_PROTECTED_RESULT_RETAINED,LATENT_PRE_RUN_DELAY_TO_TIMED_RUN_START_MINUTES,DISCRETE_MAXIMUM_ENTROPY_STRUCTURAL_PRIOR,WEAK_SHARED_STRUCTURAL_PRIOR_ZERO_DIRECT_WAIT_OBSERVATIONS,BROAD_LATENT_PRE_RUN_DELAY_PRIOR_V1,30.000000,0.250000,DECLARED_MAXIMUM_ENTROPY_WEIGHT_NOT_EMPIRICAL_FREQUENCY,0,4,weather/output/queue_wait_sensitivity_scenarios_v1.csv,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
R4F8F_WAIT_QUEUE_MODEL_V1,R4F8F_WAIT_QUEUE_MODEL_V1::DAY1::RETAIN_AND_REATTEMPT,DAY1,RETAIN_AND_REATTEMPT,DAY1_LANE2_NON_PRIORITY,CURRENT_PROTECTED_RESULT_RETAINED,LATENT_PRE_RUN_DELAY_TO_TIMED_RUN_START_MINUTES,DISCRETE_MAXIMUM_ENTROPY_STRUCTURAL_PRIOR,WEAK_SHARED_STRUCTURAL_PRIOR_ZERO_DIRECT_WAIT_OBSERVATIONS,BROAD_LATENT_PRE_RUN_DELAY_PRIOR_V1,45.000000,0.250000,DECLARED_MAXIMUM_ENTROPY_WEIGHT_NOT_EMPIRICAL_FREQUENCY,0,4,weather/output/queue_wait_sensitivity_scenarios_v1.csv,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
R4F8F_WAIT_QUEUE_MODEL_V1,R4F8F_WAIT_QUEUE_MODEL_V1::DAY1::WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1_LANE1_PRIORITY,CURRENT_PROTECTED_RESULT_SURRENDERED,LATENT_PRE_RUN_DELAY_TO_TIMED_RUN_START_MINUTES,DISCRETE_MAXIMUM_ENTROPY_STRUCTURAL_PRIOR,WEAK_SHARED_STRUCTURAL_PRIOR_ZERO_DIRECT_WAIT_OBSERVATIONS,BROAD_LATENT_PRE_RUN_DELAY_PRIOR_V1,5.000000,0.250000,DECLARED_MAXIMUM_ENTROPY_WEIGHT_NOT_EMPIRICAL_FREQUENCY,0,4,weather/output/queue_wait_sensitivity_scenarios_v1.csv,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
R4F8F_WAIT_QUEUE_MODEL_V1,R4F8F_WAIT_QUEUE_MODEL_V1::DAY1::WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1_LANE1_PRIORITY,CURRENT_PROTECTED_RESULT_SURRENDERED,LATENT_PRE_RUN_DELAY_TO_TIMED_RUN_START_MINUTES,DISCRETE_MAXIMUM_ENTROPY_STRUCTURAL_PRIOR,WEAK_SHARED_STRUCTURAL_PRIOR_ZERO_DIRECT_WAIT_OBSERVATIONS,BROAD_LATENT_PRE_RUN_DELAY_PRIOR_V1,15.000000,0.250000,DECLARED_MAXIMUM_ENTROPY_WEIGHT_NOT_EMPIRICAL_FREQUENCY,0,4,weather/output/queue_wait_sensitivity_scenarios_v1.csv,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
R4F8F_WAIT_QUEUE_MODEL_V1,R4F8F_WAIT_QUEUE_MODEL_V1::DAY1::WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1_LANE1_PRIORITY,CURRENT_PROTECTED_RESULT_SURRENDERED,LATENT_PRE_RUN_DELAY_TO_TIMED_RUN_START_MINUTES,DISCRETE_MAXIMUM_ENTROPY_STRUCTURAL_PRIOR,WEAK_SHARED_STRUCTURAL_PRIOR_ZERO_DIRECT_WAIT_OBSERVATIONS,BROAD_LATENT_PRE_RUN_DELAY_PRIOR_V1,30.000000,0.250000,DECLARED_MAXIMUM_ENTROPY_WEIGHT_NOT_EMPIRICAL_FREQUENCY,0,4,weather/output/queue_wait_sensitivity_scenarios_v1.csv,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
R4F8F_WAIT_QUEUE_MODEL_V1,R4F8F_WAIT_QUEUE_MODEL_V1::DAY1::WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1_LANE1_PRIORITY,CURRENT_PROTECTED_RESULT_SURRENDERED,LATENT_PRE_RUN_DELAY_TO_TIMED_RUN_START_MINUTES,DISCRETE_MAXIMUM_ENTROPY_STRUCTURAL_PRIOR,WEAK_SHARED_STRUCTURAL_PRIOR_ZERO_DIRECT_WAIT_OBSERVATIONS,BROAD_LATENT_PRE_RUN_DELAY_PRIOR_V1,45.000000,0.250000,DECLARED_MAXIMUM_ENTROPY_WEIGHT_NOT_EMPIRICAL_FREQUENCY,0,4,weather/output/queue_wait_sensitivity_scenarios_v1.csv,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb
R4F8F_WAIT_QUEUE_MODEL_V1,R4F8F_WAIT_QUEUE_MODEL_V1::LAST_CHANCE::STOP,LAST_CHANCE,STOP,NO_QUEUE_NO_WAIT_NO_NEW_ATTEMPT,CURRENT_STATE_RETAINED,LATENT_PRE_RUN_DELAY_TO_TIMED_RUN_START_MINUTES,POINT_MASS,DETERMINISTIC_RULE,NONE_STOP_RULE,0.000000,1.000000,DETERMINISTIC,0,0,FROZEN_ACTION_RULE,ACTION_CONTRACT
